SNP	PVAL	Disease	COMP	CisGene	TissScores	CompGenes_CompScores	FDR
6:32345689	6e-07	Waist-to-hip ratio adjusted for BMI in active individuals	58	HLA-DQB1_HLA-DPB1	-0.0552748_-0.046243	ABHD11_-0.375474\ANKRD13A_0.295802\ARPC4_0.299507\ATP9B_-0.325225\ATXN2L_0.277654\C1GALT1C1_0.33817\C21orf2_0.398581\C22orf34_0.316647\CH25H_0.271427\CMC1_-0.333416\COQ10A_0.38523\CPPED1_-0.344567\CSTA_0.345742\DNAJC15_-0.372056\ECH1_-0.330659\ERH_0.319455\FMNL2_-0.378459\GATC_-0.387501\GFPT1_0.328457\HLA-DMA_-0.299845\KLK7_-0.303396\LDHD_-0.288653\LRP3_-0.38734\MAP7_-0.344288\MKNK2_0.287169\MRPS12_0.273651\PANX2_-0.31007\PARP2_0.286457\PLEKHG3_-0.400539\POLR2J3_-0.299317\PSMB9_0.346892\PSMD5_0.291406\PTPN12_-0.369354\RNASEH1_0.305152\SAMD8_0.274644\STX8_-0.329402\TFIP11_0.295642\TUBB_-0.41771\UPF3A_-0.301468\VARS2_-0.53245\ZNF30_0.304607\ZSCAN29_0.342106	0.000147284377031309
6:32345689	9e-09	Waist-to-hip ratio adjusted for BMI (joint analysis for main effect and physical activity interaction)	58	HLA-DQB1_HLA-DPB1	-0.0552748_-0.046243	ABHD11_-0.375474\ANKRD13A_0.295802\ARPC4_0.299507\ATP9B_-0.325225\ATXN2L_0.277654\C1GALT1C1_0.33817\C21orf2_0.398581\C22orf34_0.316647\CH25H_0.271427\CMC1_-0.333416\COQ10A_0.38523\CPPED1_-0.344567\CSTA_0.345742\DNAJC15_-0.372056\ECH1_-0.330659\ERH_0.319455\FMNL2_-0.378459\GATC_-0.387501\GFPT1_0.328457\HLA-DMA_-0.299845\KLK7_-0.303396\LDHD_-0.288653\LRP3_-0.38734\MAP7_-0.344288\MKNK2_0.287169\MRPS12_0.273651\PANX2_-0.31007\PARP2_0.286457\PLEKHG3_-0.400539\POLR2J3_-0.299317\PSMB9_0.346892\PSMD5_0.291406\PTPN12_-0.369354\RNASEH1_0.305152\SAMD8_0.274644\STX8_-0.329402\TFIP11_0.295642\TUBB_-0.41771\UPF3A_-0.301468\VARS2_-0.53245\ZNF30_0.304607\ZSCAN29_0.342106	0.000147284377031309
6:32345689	5e-07	Waist-to-hip ratio adjusted for BMI (joint analysis for main effect and physical activity interaction)	58	HLA-DQB1_HLA-DPB1	-0.0552748_-0.046243	ABHD11_-0.375474\ANKRD13A_0.295802\ARPC4_0.299507\ATP9B_-0.325225\ATXN2L_0.277654\C1GALT1C1_0.33817\C21orf2_0.398581\C22orf34_0.316647\CH25H_0.271427\CMC1_-0.333416\COQ10A_0.38523\CPPED1_-0.344567\CSTA_0.345742\DNAJC15_-0.372056\ECH1_-0.330659\ERH_0.319455\FMNL2_-0.378459\GATC_-0.387501\GFPT1_0.328457\HLA-DMA_-0.299845\KLK7_-0.303396\LDHD_-0.288653\LRP3_-0.38734\MAP7_-0.344288\MKNK2_0.287169\MRPS12_0.273651\PANX2_-0.31007\PARP2_0.286457\PLEKHG3_-0.400539\POLR2J3_-0.299317\PSMB9_0.346892\PSMD5_0.291406\PTPN12_-0.369354\RNASEH1_0.305152\SAMD8_0.274644\STX8_-0.329402\TFIP11_0.295642\TUBB_-0.41771\UPF3A_-0.301468\VARS2_-0.53245\ZNF30_0.304607\ZSCAN29_0.342106	0.000147284377031309
6:32345689	9e-09	Waist-to-hip ratio adjusted for BMI (joint analysis for main effect and physical activity interaction)	58	HLA-DQB1_HLA-DPB1	-0.0552748_-0.046243	ABHD11_-0.375474\ANKRD13A_0.295802\ARPC4_0.299507\ATP9B_-0.325225\ATXN2L_0.277654\C1GALT1C1_0.33817\C21orf2_0.398581\C22orf34_0.316647\CH25H_0.271427\CMC1_-0.333416\COQ10A_0.38523\CPPED1_-0.344567\CSTA_0.345742\DNAJC15_-0.372056\ECH1_-0.330659\ERH_0.319455\FMNL2_-0.378459\GATC_-0.387501\GFPT1_0.328457\HLA-DMA_-0.299845\KLK7_-0.303396\LDHD_-0.288653\LRP3_-0.38734\MAP7_-0.344288\MKNK2_0.287169\MRPS12_0.273651\PANX2_-0.31007\PARP2_0.286457\PLEKHG3_-0.400539\POLR2J3_-0.299317\PSMB9_0.346892\PSMD5_0.291406\PTPN12_-0.369354\RNASEH1_0.305152\SAMD8_0.274644\STX8_-0.329402\TFIP11_0.295642\TUBB_-0.41771\UPF3A_-0.301468\VARS2_-0.53245\ZNF30_0.304607\ZSCAN29_0.342106	0.000147284377031309
6:32345689	6e-08	Waist-to-hip ratio adjusted for BMI in active individuals	58	HLA-DQB1_HLA-DPB1	-0.0552748_-0.046243	ABHD11_-0.375474\ANKRD13A_0.295802\ARPC4_0.299507\ATP9B_-0.325225\ATXN2L_0.277654\C1GALT1C1_0.33817\C21orf2_0.398581\C22orf34_0.316647\CH25H_0.271427\CMC1_-0.333416\COQ10A_0.38523\CPPED1_-0.344567\CSTA_0.345742\DNAJC15_-0.372056\ECH1_-0.330659\ERH_0.319455\FMNL2_-0.378459\GATC_-0.387501\GFPT1_0.328457\HLA-DMA_-0.299845\KLK7_-0.303396\LDHD_-0.288653\LRP3_-0.38734\MAP7_-0.344288\MKNK2_0.287169\MRPS12_0.273651\PANX2_-0.31007\PARP2_0.286457\PLEKHG3_-0.400539\POLR2J3_-0.299317\PSMB9_0.346892\PSMD5_0.291406\PTPN12_-0.369354\RNASEH1_0.305152\SAMD8_0.274644\STX8_-0.329402\TFIP11_0.295642\TUBB_-0.41771\UPF3A_-0.301468\VARS2_-0.53245\ZNF30_0.304607\ZSCAN29_0.342106	0.000147284377031309
6:32450089	1e-09	Waist-to-hip ratio adjusted for body mass index	288	HLA-DRA_HLA-DRA	0.0394349_0.038926	AOAH_0.797659\BEND4_0.69934\C12orf57_0.458339\CACNA2D4_0.605234\CD180_0.424553\CPVL_-0.430277\DCAF16_0.474369\DEF8_0.73086\DNAJA4_0.507837\ERG_0.767832\EXOSC6_-0.5177\FCHO2_-0.761012\HLA-DRA_0.587015\JAZF1_-0.429442\KRTAP10-11_-0.396988\LIMS1_-0.462467\MRPL2_-0.442905\MRPL54_-0.476748\MUM1_0.431868\NME1_-0.463411\PDCD5_0.458637\PLAGL1_0.419845\PLXNC1_-0.402799\RAB27A_-0.418176\RGPD2_0.459595\RNPEP_-0.404459\RPS26_0.684201\RRAS2_-0.562103\SLC4A7_-0.577997\SLITRK4_0.50185\SNORD36C_-0.42505\SRR_0.455327\TMED3_0.454473\WDR41_-0.669109\ZNF671_-0.518151\ZNF776_-0.410272	0.000158495877985057
6:32450089	4e-08	Waist-to-hip ratio adjusted for body mass index	288	HLA-DRA_HLA-DRA	0.0394349_0.038926	AOAH_0.797659\BEND4_0.69934\C12orf57_0.458339\CACNA2D4_0.605234\CD180_0.424553\CPVL_-0.430277\DCAF16_0.474369\DEF8_0.73086\DNAJA4_0.507837\ERG_0.767832\EXOSC6_-0.5177\FCHO2_-0.761012\HLA-DRA_0.587015\JAZF1_-0.429442\KRTAP10-11_-0.396988\LIMS1_-0.462467\MRPL2_-0.442905\MRPL54_-0.476748\MUM1_0.431868\NME1_-0.463411\PDCD5_0.458637\PLAGL1_0.419845\PLXNC1_-0.402799\RAB27A_-0.418176\RGPD2_0.459595\RNPEP_-0.404459\RPS26_0.684201\RRAS2_-0.562103\SLC4A7_-0.577997\SLITRK4_0.50185\SNORD36C_-0.42505\SRR_0.455327\TMED3_0.454473\WDR41_-0.669109\ZNF671_-0.518151\ZNF776_-0.410272	0.000158495877985057
6:32408527	1e-100	Type 1 diabetes	288	HLA-DRA_HLA-DRB1	0.0394349_0.038926	AOAH_0.797659\BEND4_0.69934\C12orf57_0.458339\CACNA2D4_0.605234\CD180_0.424553\CPVL_-0.430277\DCAF16_0.474369\DEF8_0.73086\DNAJA4_0.507837\ERG_0.767832\EXOSC6_-0.5177\FCHO2_-0.761012\HLA-DRA_0.587015\JAZF1_-0.429442\KRTAP10-11_-0.396988\LIMS1_-0.462467\MRPL2_-0.442905\MRPL54_-0.476748\MUM1_0.431868\NME1_-0.463411\PDCD5_0.458637\PLAGL1_0.419845\PLXNC1_-0.402799\RAB27A_-0.418176\RGPD2_0.459595\RNPEP_-0.404459\RPS26_0.684201\RRAS2_-0.562103\SLC4A7_-0.577997\SLITRK4_0.50185\SNORD36C_-0.42505\SRR_0.455327\TMED3_0.454473\WDR41_-0.669109\ZNF671_-0.518151\ZNF776_-0.410272	0.000175361725868063
6:32358201	4e-09	Waist-to-hip ratio adjusted for body mass index	58	HLA-DQB1_HLA-DPB1	-0.0552748_-0.046243	ABHD11_-0.375474\ANKRD13A_0.295802\ARPC4_0.299507\ATP9B_-0.325225\ATXN2L_0.277654\C1GALT1C1_0.33817\C21orf2_0.398581\C22orf34_0.316647\CH25H_0.271427\CMC1_-0.333416\COQ10A_0.38523\CPPED1_-0.344567\CSTA_0.345742\DNAJC15_-0.372056\ECH1_-0.330659\ERH_0.319455\FMNL2_-0.378459\GATC_-0.387501\GFPT1_0.328457\HLA-DMA_-0.299845\KLK7_-0.303396\LDHD_-0.288653\LRP3_-0.38734\MAP7_-0.344288\MKNK2_0.287169\MRPS12_0.273651\PANX2_-0.31007\PARP2_0.286457\PLEKHG3_-0.400539\POLR2J3_-0.299317\PSMB9_0.346892\PSMD5_0.291406\PTPN12_-0.369354\RNASEH1_0.305152\SAMD8_0.274644\STX8_-0.329402\TFIP11_0.295642\TUBB_-0.41771\UPF3A_-0.301468\VARS2_-0.53245\ZNF30_0.304607\ZSCAN29_0.342106	0.000182599925539726
6:32666526	3e-19	Blood protein levels	58	HLA-DQB1_HLA-DPB1	-0.0552748_-0.046243	ABHD11_-0.375474\ANKRD13A_0.295802\ARPC4_0.299507\ATP9B_-0.325225\ATXN2L_0.277654\C1GALT1C1_0.33817\C21orf2_0.398581\C22orf34_0.316647\CH25H_0.271427\CMC1_-0.333416\COQ10A_0.38523\CPPED1_-0.344567\CSTA_0.345742\DNAJC15_-0.372056\ECH1_-0.330659\ERH_0.319455\FMNL2_-0.378459\GATC_-0.387501\GFPT1_0.328457\HLA-DMA_-0.299845\KLK7_-0.303396\LDHD_-0.288653\LRP3_-0.38734\MAP7_-0.344288\MKNK2_0.287169\MRPS12_0.273651\PANX2_-0.31007\PARP2_0.286457\PLEKHG3_-0.400539\POLR2J3_-0.299317\PSMB9_0.346892\PSMD5_0.291406\PTPN12_-0.369354\RNASEH1_0.305152\SAMD8_0.274644\STX8_-0.329402\TFIP11_0.295642\TUBB_-0.41771\UPF3A_-0.301468\VARS2_-0.53245\ZNF30_0.304607\ZSCAN29_0.342106	0.00019076539994142
6:32675109	2e-07	Autism spectrum disorder, attention deficit-hyperactivity disorder, bipolar disorder, major depressive disorder, and schizophrenia (combined)	288	HLA-DRA_HLA-DRA	0.0394349_0.038926	AOAH_0.797659\BEND4_0.69934\C12orf57_0.458339\CACNA2D4_0.605234\CD180_0.424553\CPVL_-0.430277\DCAF16_0.474369\DEF8_0.73086\DNAJA4_0.507837\ERG_0.767832\EXOSC6_-0.5177\FCHO2_-0.761012\HLA-DRA_0.587015\JAZF1_-0.429442\KRTAP10-11_-0.396988\LIMS1_-0.462467\MRPL2_-0.442905\MRPL54_-0.476748\MUM1_0.431868\NME1_-0.463411\PDCD5_0.458637\PLAGL1_0.419845\PLXNC1_-0.402799\RAB27A_-0.418176\RGPD2_0.459595\RNPEP_-0.404459\RPS26_0.684201\RRAS2_-0.562103\SLC4A7_-0.577997\SLITRK4_0.50185\SNORD36C_-0.42505\SRR_0.455327\TMED3_0.454473\WDR41_-0.669109\ZNF671_-0.518151\ZNF776_-0.410272	0.000301968084009117
6:32678597	5e-17	Chronic hepatitis C infection	288	HLA-DRA_HLA-DRA	0.0394349_0.038926	AOAH_0.797659\BEND4_0.69934\C12orf57_0.458339\CACNA2D4_0.605234\CD180_0.424553\CPVL_-0.430277\DCAF16_0.474369\DEF8_0.73086\DNAJA4_0.507837\ERG_0.767832\EXOSC6_-0.5177\FCHO2_-0.761012\HLA-DRA_0.587015\JAZF1_-0.429442\KRTAP10-11_-0.396988\LIMS1_-0.462467\MRPL2_-0.442905\MRPL54_-0.476748\MUM1_0.431868\NME1_-0.463411\PDCD5_0.458637\PLAGL1_0.419845\PLXNC1_-0.402799\RAB27A_-0.418176\RGPD2_0.459595\RNPEP_-0.404459\RPS26_0.684201\RRAS2_-0.562103\SLC4A7_-0.577997\SLITRK4_0.50185\SNORD36C_-0.42505\SRR_0.455327\TMED3_0.454473\WDR41_-0.669109\ZNF671_-0.518151\ZNF776_-0.410272	0.000383148942992626
6:32678999	1e-35	Alopecia areata	288	HLA-DRA_HLA-DRA	0.0394349_0.038926	AOAH_0.797659\BEND4_0.69934\C12orf57_0.458339\CACNA2D4_0.605234\CD180_0.424553\CPVL_-0.430277\DCAF16_0.474369\DEF8_0.73086\DNAJA4_0.507837\ERG_0.767832\EXOSC6_-0.5177\FCHO2_-0.761012\HLA-DRA_0.587015\JAZF1_-0.429442\KRTAP10-11_-0.396988\LIMS1_-0.462467\MRPL2_-0.442905\MRPL54_-0.476748\MUM1_0.431868\NME1_-0.463411\PDCD5_0.458637\PLAGL1_0.419845\PLXNC1_-0.402799\RAB27A_-0.418176\RGPD2_0.459595\RNPEP_-0.404459\RPS26_0.684201\RRAS2_-0.562103\SLC4A7_-0.577997\SLITRK4_0.50185\SNORD36C_-0.42505\SRR_0.455327\TMED3_0.454473\WDR41_-0.669109\ZNF671_-0.518151\ZNF776_-0.410272	0.000396946988095417
6:32678999	6e-09	Hepatocellular carcinoma	288	HLA-DRA_HLA-DRA	0.0394349_0.038926	AOAH_0.797659\BEND4_0.69934\C12orf57_0.458339\CACNA2D4_0.605234\CD180_0.424553\CPVL_-0.430277\DCAF16_0.474369\DEF8_0.73086\DNAJA4_0.507837\ERG_0.767832\EXOSC6_-0.5177\FCHO2_-0.761012\HLA-DRA_0.587015\JAZF1_-0.429442\KRTAP10-11_-0.396988\LIMS1_-0.462467\MRPL2_-0.442905\MRPL54_-0.476748\MUM1_0.431868\NME1_-0.463411\PDCD5_0.458637\PLAGL1_0.419845\PLXNC1_-0.402799\RAB27A_-0.418176\RGPD2_0.459595\RNPEP_-0.404459\RPS26_0.684201\RRAS2_-0.562103\SLC4A7_-0.577997\SLITRK4_0.50185\SNORD36C_-0.42505\SRR_0.455327\TMED3_0.454473\WDR41_-0.669109\ZNF671_-0.518151\ZNF776_-0.410272	0.000396946988095417
6:32678999	4e-16	Chronic hepatitis C infection	288	HLA-DRA_HLA-DRA	0.0394349_0.038926	AOAH_0.797659\BEND4_0.69934\C12orf57_0.458339\CACNA2D4_0.605234\CD180_0.424553\CPVL_-0.430277\DCAF16_0.474369\DEF8_0.73086\DNAJA4_0.507837\ERG_0.767832\EXOSC6_-0.5177\FCHO2_-0.761012\HLA-DRA_0.587015\JAZF1_-0.429442\KRTAP10-11_-0.396988\LIMS1_-0.462467\MRPL2_-0.442905\MRPL54_-0.476748\MUM1_0.431868\NME1_-0.463411\PDCD5_0.458637\PLAGL1_0.419845\PLXNC1_-0.402799\RAB27A_-0.418176\RGPD2_0.459595\RNPEP_-0.404459\RPS26_0.684201\RRAS2_-0.562103\SLC4A7_-0.577997\SLITRK4_0.50185\SNORD36C_-0.42505\SRR_0.455327\TMED3_0.454473\WDR41_-0.669109\ZNF671_-0.518151\ZNF776_-0.410272	0.000396946988095417
6:32678999	5e-16	Systemic lupus erythematosus	288	HLA-DRA_HLA-DRA	0.0394349_0.038926	AOAH_0.797659\BEND4_0.69934\C12orf57_0.458339\CACNA2D4_0.605234\CD180_0.424553\CPVL_-0.430277\DCAF16_0.474369\DEF8_0.73086\DNAJA4_0.507837\ERG_0.767832\EXOSC6_-0.5177\FCHO2_-0.761012\HLA-DRA_0.587015\JAZF1_-0.429442\KRTAP10-11_-0.396988\LIMS1_-0.462467\MRPL2_-0.442905\MRPL54_-0.476748\MUM1_0.431868\NME1_-0.463411\PDCD5_0.458637\PLAGL1_0.419845\PLXNC1_-0.402799\RAB27A_-0.418176\RGPD2_0.459595\RNPEP_-0.404459\RPS26_0.684201\RRAS2_-0.562103\SLC4A7_-0.577997\SLITRK4_0.50185\SNORD36C_-0.42505\SRR_0.455327\TMED3_0.454473\WDR41_-0.669109\ZNF671_-0.518151\ZNF776_-0.410272	0.000396946988095417
6:32604372	5e-134	Type 1 diabetes	288	HLA-DQB1_HLA-DQB1	0.0394349_0.038926	AOAH_0.797659\BEND4_0.69934\C12orf57_0.458339\CACNA2D4_0.605234\CD180_0.424553\CPVL_-0.430277\DCAF16_0.474369\DEF8_0.73086\DNAJA4_0.507837\ERG_0.767832\EXOSC6_-0.5177\FCHO2_-0.761012\HLA-DRA_0.587015\JAZF1_-0.429442\KRTAP10-11_-0.396988\LIMS1_-0.462467\MRPL2_-0.442905\MRPL54_-0.476748\MUM1_0.431868\NME1_-0.463411\PDCD5_0.458637\PLAGL1_0.419845\PLXNC1_-0.402799\RAB27A_-0.418176\RGPD2_0.459595\RNPEP_-0.404459\RPS26_0.684201\RRAS2_-0.562103\SLC4A7_-0.577997\SLITRK4_0.50185\SNORD36C_-0.42505\SRR_0.455327\TMED3_0.454473\WDR41_-0.669109\ZNF671_-0.518151\ZNF776_-0.410272	0.000473023943880113
6:32604372	6e-129	Type 1 diabetes	288	HLA-DQB1_HLA-DQB1	0.0394349_0.038926	AOAH_0.797659\BEND4_0.69934\C12orf57_0.458339\CACNA2D4_0.605234\CD180_0.424553\CPVL_-0.430277\DCAF16_0.474369\DEF8_0.73086\DNAJA4_0.507837\ERG_0.767832\EXOSC6_-0.5177\FCHO2_-0.761012\HLA-DRA_0.587015\JAZF1_-0.429442\KRTAP10-11_-0.396988\LIMS1_-0.462467\MRPL2_-0.442905\MRPL54_-0.476748\MUM1_0.431868\NME1_-0.463411\PDCD5_0.458637\PLAGL1_0.419845\PLXNC1_-0.402799\RAB27A_-0.418176\RGPD2_0.459595\RNPEP_-0.404459\RPS26_0.684201\RRAS2_-0.562103\SLC4A7_-0.577997\SLITRK4_0.50185\SNORD36C_-0.42505\SRR_0.455327\TMED3_0.454473\WDR41_-0.669109\ZNF671_-0.518151\ZNF776_-0.410272	0.000473023943880113
6:32604372	2e-08	Asthma	288	HLA-DQB1_HLA-DQB1	0.0394349_0.038926	AOAH_0.797659\BEND4_0.69934\C12orf57_0.458339\CACNA2D4_0.605234\CD180_0.424553\CPVL_-0.430277\DCAF16_0.474369\DEF8_0.73086\DNAJA4_0.507837\ERG_0.767832\EXOSC6_-0.5177\FCHO2_-0.761012\HLA-DRA_0.587015\JAZF1_-0.429442\KRTAP10-11_-0.396988\LIMS1_-0.462467\MRPL2_-0.442905\MRPL54_-0.476748\MUM1_0.431868\NME1_-0.463411\PDCD5_0.458637\PLAGL1_0.419845\PLXNC1_-0.402799\RAB27A_-0.418176\RGPD2_0.459595\RNPEP_-0.404459\RPS26_0.684201\RRAS2_-0.562103\SLC4A7_-0.577997\SLITRK4_0.50185\SNORD36C_-0.42505\SRR_0.455327\TMED3_0.454473\WDR41_-0.669109\ZNF671_-0.518151\ZNF776_-0.410272	0.000473023943880113
6:29942083	9e-23	Vitiligo	78	HLA-G_HLA-G	0.0176157_0.0239373	ALDH7A1_0.873301\ANKRD26_0.846357\ATP2A3_-0.787498\BTN3A1_-0.893395\C20orf27_0.778772\CELSR3_-0.84333\CHD1L_0.916745\CINP_-0.803555\CLEC1A_0.754342\CRIPAK_0.72839\CXorf40B_-0.990563\FXYD5_0.964729\FZR1_-0.868673\GATS_0.768862\GPR179_-0.82548\HLA-A_-1.13156\HLA-F_-1.46048\HLA-G_-2.22463\IL3RA_0.737317\KCTD20_0.825193\KIT_-1.85883\MSC_0.831593\NAF1_0.982057\NDUFS1_-1.36258\NOTCH3_0.862281\PARVB_-0.91435\PLAU_-0.880096\PPT2_0.72878\RBM6_-0.786407\SAMD9L_0.913476\SEL1L3_0.746364\SLC25A14_0.745182\TRAPPC4_-0.874449\TRIM4_0.772028\TRIM6_-0.775316\VARS2_-1.0323\ZNF439_0.98292\ZNF704_-0.954873	0.00047953691120424
6:31448976	5e-10	Neonatal lupus	58	HLA-C_HLA-C	-0.0552748_-0.046243	ABHD11_-0.375474\ANKRD13A_0.295802\ARPC4_0.299507\ATP9B_-0.325225\ATXN2L_0.277654\C1GALT1C1_0.33817\C21orf2_0.398581\C22orf34_0.316647\CH25H_0.271427\CMC1_-0.333416\COQ10A_0.38523\CPPED1_-0.344567\CSTA_0.345742\DNAJC15_-0.372056\ECH1_-0.330659\ERH_0.319455\FMNL2_-0.378459\GATC_-0.387501\GFPT1_0.328457\HLA-DMA_-0.299845\KLK7_-0.303396\LDHD_-0.288653\LRP3_-0.38734\MAP7_-0.344288\MKNK2_0.287169\MRPS12_0.273651\PANX2_-0.31007\PARP2_0.286457\PLEKHG3_-0.400539\POLR2J3_-0.299317\PSMB9_0.346892\PSMD5_0.291406\PTPN12_-0.369354\RNASEH1_0.305152\SAMD8_0.274644\STX8_-0.329402\TFIP11_0.295642\TUBB_-0.41771\UPF3A_-0.301468\VARS2_-0.53245\ZNF30_0.304607\ZSCAN29_0.342106	0.000493840769601963
6:31448976	2e-08	Metabolic syndrome	58	HLA-C_HLA-C	-0.0552748_-0.046243	ABHD11_-0.375474\ANKRD13A_0.295802\ARPC4_0.299507\ATP9B_-0.325225\ATXN2L_0.277654\C1GALT1C1_0.33817\C21orf2_0.398581\C22orf34_0.316647\CH25H_0.271427\CMC1_-0.333416\COQ10A_0.38523\CPPED1_-0.344567\CSTA_0.345742\DNAJC15_-0.372056\ECH1_-0.330659\ERH_0.319455\FMNL2_-0.378459\GATC_-0.387501\GFPT1_0.328457\HLA-DMA_-0.299845\KLK7_-0.303396\LDHD_-0.288653\LRP3_-0.38734\MAP7_-0.344288\MKNK2_0.287169\MRPS12_0.273651\PANX2_-0.31007\PARP2_0.286457\PLEKHG3_-0.400539\POLR2J3_-0.299317\PSMB9_0.346892\PSMD5_0.291406\PTPN12_-0.369354\RNASEH1_0.305152\SAMD8_0.274644\STX8_-0.329402\TFIP11_0.295642\TUBB_-0.41771\UPF3A_-0.301468\VARS2_-0.53245\ZNF30_0.304607\ZSCAN29_0.342106	0.000493840769601963
6:30179422	8e-07	Anger	78	HLA-G_HLA-G	0.0176157_0.0239373	ALDH7A1_0.873301\ANKRD26_0.846357\ATP2A3_-0.787498\BTN3A1_-0.893395\C20orf27_0.778772\CELSR3_-0.84333\CHD1L_0.916745\CINP_-0.803555\CLEC1A_0.754342\CRIPAK_0.72839\CXorf40B_-0.990563\FXYD5_0.964729\FZR1_-0.868673\GATS_0.768862\GPR179_-0.82548\HLA-A_-1.13156\HLA-F_-1.46048\HLA-G_-2.22463\IL3RA_0.737317\KCTD20_0.825193\KIT_-1.85883\MSC_0.831593\NAF1_0.982057\NDUFS1_-1.36258\NOTCH3_0.862281\PARVB_-0.91435\PLAU_-0.880096\PPT2_0.72878\RBM6_-0.786407\SAMD9L_0.913476\SEL1L3_0.746364\SLC25A14_0.745182\TRAPPC4_-0.874449\TRIM4_0.772028\TRIM6_-0.775316\VARS2_-1.0323\ZNF439_0.98292\ZNF704_-0.954873	0.000496657155630661
6:29934163	2e-06	Ulcerative colitis	78	HLA-G_HLA-G	0.0176157_0.0239373	ALDH7A1_0.873301\ANKRD26_0.846357\ATP2A3_-0.787498\BTN3A1_-0.893395\C20orf27_0.778772\CELSR3_-0.84333\CHD1L_0.916745\CINP_-0.803555\CLEC1A_0.754342\CRIPAK_0.72839\CXorf40B_-0.990563\FXYD5_0.964729\FZR1_-0.868673\GATS_0.768862\GPR179_-0.82548\HLA-A_-1.13156\HLA-F_-1.46048\HLA-G_-2.22463\IL3RA_0.737317\KCTD20_0.825193\KIT_-1.85883\MSC_0.831593\NAF1_0.982057\NDUFS1_-1.36258\NOTCH3_0.862281\PARVB_-0.91435\PLAU_-0.880096\PPT2_0.72878\RBM6_-0.786407\SAMD9L_0.913476\SEL1L3_0.746364\SLC25A14_0.745182\TRAPPC4_-0.874449\TRIM4_0.772028\TRIM6_-0.775316\VARS2_-1.0323\ZNF439_0.98292\ZNF704_-0.954873	0.000513355931638231
6:31476458	4e-48	Myositis	58	HLA-C_VARS2	-0.0552748_-0.046243	ABHD11_-0.375474\ANKRD13A_0.295802\ARPC4_0.299507\ATP9B_-0.325225\ATXN2L_0.277654\C1GALT1C1_0.33817\C21orf2_0.398581\C22orf34_0.316647\CH25H_0.271427\CMC1_-0.333416\COQ10A_0.38523\CPPED1_-0.344567\CSTA_0.345742\DNAJC15_-0.372056\ECH1_-0.330659\ERH_0.319455\FMNL2_-0.378459\GATC_-0.387501\GFPT1_0.328457\HLA-DMA_-0.299845\KLK7_-0.303396\LDHD_-0.288653\LRP3_-0.38734\MAP7_-0.344288\MKNK2_0.287169\MRPS12_0.273651\PANX2_-0.31007\PARP2_0.286457\PLEKHG3_-0.400539\POLR2J3_-0.299317\PSMB9_0.346892\PSMD5_0.291406\PTPN12_-0.369354\RNASEH1_0.305152\SAMD8_0.274644\STX8_-0.329402\TFIP11_0.295642\TUBB_-0.41771\UPF3A_-0.301468\VARS2_-0.53245\ZNF30_0.304607\ZSCAN29_0.342106	0.000634914125408586
6:32029205	6e-107	Systemic lupus erythematosus	58	HLA-DQB1_HLA-DPB1	-0.0552748_-0.046243	ABHD11_-0.375474\ANKRD13A_0.295802\ARPC4_0.299507\ATP9B_-0.325225\ATXN2L_0.277654\C1GALT1C1_0.33817\C21orf2_0.398581\C22orf34_0.316647\CH25H_0.271427\CMC1_-0.333416\COQ10A_0.38523\CPPED1_-0.344567\CSTA_0.345742\DNAJC15_-0.372056\ECH1_-0.330659\ERH_0.319455\FMNL2_-0.378459\GATC_-0.387501\GFPT1_0.328457\HLA-DMA_-0.299845\KLK7_-0.303396\LDHD_-0.288653\LRP3_-0.38734\MAP7_-0.344288\MKNK2_0.287169\MRPS12_0.273651\PANX2_-0.31007\PARP2_0.286457\PLEKHG3_-0.400539\POLR2J3_-0.299317\PSMB9_0.346892\PSMD5_0.291406\PTPN12_-0.369354\RNASEH1_0.305152\SAMD8_0.274644\STX8_-0.329402\TFIP11_0.295642\TUBB_-0.41771\UPF3A_-0.301468\VARS2_-0.53245\ZNF30_0.304607\ZSCAN29_0.342106	0.000682834818448453
6:32029205	2e-101	Systemic lupus erythematosus	58	HLA-DQB1_HLA-DPB1	-0.0552748_-0.046243	ABHD11_-0.375474\ANKRD13A_0.295802\ARPC4_0.299507\ATP9B_-0.325225\ATXN2L_0.277654\C1GALT1C1_0.33817\C21orf2_0.398581\C22orf34_0.316647\CH25H_0.271427\CMC1_-0.333416\COQ10A_0.38523\CPPED1_-0.344567\CSTA_0.345742\DNAJC15_-0.372056\ECH1_-0.330659\ERH_0.319455\FMNL2_-0.378459\GATC_-0.387501\GFPT1_0.328457\HLA-DMA_-0.299845\KLK7_-0.303396\LDHD_-0.288653\LRP3_-0.38734\MAP7_-0.344288\MKNK2_0.287169\MRPS12_0.273651\PANX2_-0.31007\PARP2_0.286457\PLEKHG3_-0.400539\POLR2J3_-0.299317\PSMB9_0.346892\PSMD5_0.291406\PTPN12_-0.369354\RNASEH1_0.305152\SAMD8_0.274644\STX8_-0.329402\TFIP11_0.295642\TUBB_-0.41771\UPF3A_-0.301468\VARS2_-0.53245\ZNF30_0.304607\ZSCAN29_0.342106	0.000682834818448453
